"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AWJ11_11440",47.8719725136914,-0.603266777608071,0.338112295487925,-1.78422017080895,0.0743878959338313,0.0941726031638266
"AWJ11_05040",31.4860786210309,-0.640802432390837,0.359535253940696,-1.78230764679487,0.0746990763988918,0.0945251976818509
"AWJ11_05565",137.742913119058,-0.31091817765285,0.174962757573248,-1.77705348249717,0.0755594407167034,0.0955721247526834
"AWJ11_03945",16.3525466855719,-0.871256854018904,0.49275366879883,-1.76813874596356,0.0770377113982551,0.0973993607630189
"AWJ11_16930",40.2973079551859,-0.574957177640914,0.325674922905176,-1.76543275887508,0.0774910618200246,0.0979297523612014
"AWJ11_00105",33.7358618527732,-0.581772127400241,0.329892178369821,-1.76352204006502,0.0778124833736716,0.098250142619287
"AWJ11_06330",18.4732700361077,0.749862050607867,0.425192020924409,1.76358448349429,0.0778019619912323,0.098250142619287
"AWJ11_00675",71.9388227844292,0.392888174231142,0.223274814003336,1.75966185879466,0.0784651563994316,0.0989878651351156
"AWJ11_15190",46.817411637828,-0.513538876236556,0.291822933703784,-1.75976188615054,0.0784481878869684,0.0989878651351156
"AWJ11_05890",1914.10731112015,0.138570243465928,0.0787829649637101,1.75888586485362,0.0785968965138453,0.0991108577390276
"AWJ11_04760",72.355980057899,-0.423598660609291,0.241082488857021,-1.75706938574255,0.0789059831524043,0.0994572801581264
"AWJ11_06285",4.73022932000564,-1.83703008311206,1.04650320779607,-1.75539842537208,0.0791911812267533,0.0997733036439808
"AWJ11_16885",23.9213597574449,0.642306765016877,0.366248428836769,1.7537461308896,0.0794740172030504,0.100042542751469
"smpB",1566.41063272772,-0.167864492358436,0.0957122003084231,-1.75384634161067,0.0794568399981427,0.100042542751469
"AWJ11_14160",3342.17824050716,0.17280391947697,0.0991102522058855,1.74355241391171,0.0812371671743214,0.102217548609777
"AWJ11_16665",23.043467090015,-0.696467803507734,0.401124615060278,-1.73628787005025,0.0825129469293808,0.103777691618265
"AWJ11_15235",56.2894711044403,0.442159510449337,0.254783390561003,1.73543302597455,0.0826641346194988,0.103922678361785
"AWJ11_15515",22.5518212752411,0.742449660434996,0.428562531017177,1.73241850768619,0.08319907507863,0.104549771288561
"AWJ11_01860",4.99054382600061,-1.62940617417427,0.94637403435415,-1.72173592578145,0.0851173662497064,0.106913914030664
"AWJ11_07835",98.2812047782534,-0.360335383831401,0.209591236937903,-1.71922924400775,0.0855726378447506,0.107439138361262
"AWJ11_01720",7.170540490501,-1.29844360587154,0.756194486537415,-1.71707626673803,0.0859652379377769,0.10788525524368
"AWJ11_07805",55.5758310178055,-0.439583322988272,0.256693765899591,-1.7124814911174,0.0868079726848027,0.108895653641014
"AWJ11_13840",6.23456222975157,-1.47182940719649,0.861219358364109,-1.70900641387375,0.0874497614140957,0.109653210369321
"AWJ11_02385",272.538871051155,-0.252787248214726,0.148085835413181,-1.70703192178653,0.0878161193026473,0.110064897904661
"AWJ11_05220",306.472492565124,0.215091281146862,0.126241019405432,1.70381451417214,0.0884157455379156,0.110768470816765
"AWJ11_16620",11.6904610886414,0.886587050443923,0.52169824305899,1.69942502632441,0.0892391298723784,0.111751640783498
"AWJ11_12120",146.91458384832,0.276680597059257,0.162833282054044,1.69916489779668,0.0892881182370851,0.111764625509569
"AWJ11_00775",48.2003977974686,-0.485546596052605,0.287261469376568,-1.69026008641662,0.0909782075108592,0.113830926301957
"AWJ11_13245",428.483676632364,0.200158677136501,0.118587438664538,1.68785732612635,0.0914386200504917,0.114357548153035
"AWJ11_04750",15.0444355464102,-0.848934281193139,0.504329877522928,-1.68329166886319,0.0923186424090869,0.115408272627169
"AWJ11_13520",27.2260297992963,-0.615910662593486,0.36622526128807,-1.68178093566576,0.0926113268369051,0.115724170926599
"AWJ11_14960",7.55449745458071,-1.24862258972735,0.743436574345905,-1.67952806307105,0.0930491743253088,0.116221109407615
"AWJ11_02595",6.67377274640879,-1.33045725642411,0.792314241300416,-1.67920401662912,0.0931122894447872,0.116249769479385
"AWJ11_06205",38.0625396916296,-0.522543905259262,0.311233179839895,-1.6789466519221,0.0931624413164832,0.116262227326392
"AWJ11_05940",96.3085515729285,-0.34436299705418,0.205194231090422,-1.67822942791424,0.0933023189505517,0.116336454563937
"AWJ11_13380",4.89040956176501,-1.6087655886093,0.958608148938716,-1.67823066222667,0.0933020780823355,0.116336454563937
"AWJ11_15315",11.9474470387728,-0.944901409600315,0.563227139618138,-1.67765603454576,0.0934142669816661,0.116425877969398
"AWJ11_07450",395.789613089578,0.189610987533767,0.113095050356489,1.67656309392932,0.0936279487080898,0.116641964511929
"AWJ11_13855",926.22943507399,0.163724475402882,0.0978069718647596,1.67395505945392,0.0941394319459856,0.117228707423271
"AWJ11_14880",27.4002116436529,-0.640565403183338,0.383219047355047,-1.6715385302596,0.0946153547846587,0.117770682471743
"AWJ11_06585",327.485314643608,-0.208186420643131,0.124654358945706,-1.67010943222457,0.0948977143155621,0.118020621069719
"AWJ11_11055",10.5608146265388,0.9279930675318,0.555620965586652,1.67019087653033,0.0948816045233263,0.118020621069719
"AWJ11_09505",3.74446356851918,-1.88626004319451,1.1303522832418,-1.66873643832947,0.0951696243562076,0.118307943679925
"AWJ11_00005",802.890344199815,0.175286938228752,0.105135091214917,1.66725435059956,0.0954638395624444,0.118622735806661
"AWJ11_00910",288.568451750076,-0.215310253602729,0.129156891748495,-1.66704424895885,0.0955056065674446,0.118623701891066
"AWJ11_03370",715.265275216087,0.174182371771234,0.104590268485522,1.66537837882446,0.0958372902165835,0.118984606558041
"AWJ11_09210",156.882706550303,-0.270230448875337,0.162543237610175,-1.66251425066004,0.0964097084262216,0.119643952052095
